#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=21 lookahead_threads=7 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=cbr mbtree=1 bitrate=5800 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=5800 vbv_bufsize=11600 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:81 out:83 type:b dur:2 cpbdur:2 q:3.69 aq:0.00 tex:294 mv:53 misc:517 imb:0 pmb:13 smb:8147 d:s ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:3.69 aq:0.00 tex:296 mv:55 misc:513 imb:0 pmb:13 smb:8147 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:3.65 aq:0.03 tex:5835 mv:194 misc:1211 imb:7 pmb:178 smb:7975 d:s ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:3.69 aq:0.00 tex:211 mv:8 misc:493 imb:0 pmb:8 smb:8152 d:s ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:3.69 aq:0.00 tex:294 mv:53 misc:517 imb:0 pmb:13 smb:8147 d:s ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:3.69 aq:0.00 tex:296 mv:55 misc:513 imb:0 pmb:13 smb:8147 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:8.44 aq:0.30 tex:534 mv:117 misc:589 imb:6 pmb:14 smb:8140 d:s ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:8.40 aq:0.00 tex:211 mv:8 misc:493 imb:0 pmb:8 smb:8152 d:s ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:8.38 aq:0.00 tex:92 mv:48 misc:476 imb:0 pmb:8 smb:8152 d:s ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:8.42 aq:0.00 tex:93 mv:49 misc:474 imb:0 pmb:8 smb:8152 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:8.23 aq:0.00 tex:440 mv:115 misc:573 imb:6 pmb:12 smb:8142 d:s ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:8.43 aq:0.00 tex:211 mv:8 misc:493 imb:0 pmb:8 smb:8152 d:s ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:8.44 aq:0.00 tex:92 mv:48 misc:476 imb:0 pmb:8 smb:8152 d:s ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:8.43 aq:0.00 tex:93 mv:49 misc:474 imb:0 pmb:8 smb:8152 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:7.76 aq:0.03 tex:500 mv:114 misc:578 imb:6 pmb:13 smb:8141 d:s ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:8.22 aq:0.00 tex:211 mv:8 misc:493 imb:0 pmb:8 smb:8152 d:s ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:8.22 aq:0.00 tex:92 mv:48 misc:476 imb:0 pmb:8 smb:8152 d:s ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:8.22 aq:0.00 tex:93 mv:49 misc:474 imb:0 pmb:8 smb:8152 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:6.25 aq:0.23 tex:1186 mv:150 misc:688 imb:6 pmb:35 smb:8119 d:s ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:7.75 aq:0.00 tex:211 mv:8 misc:493 imb:0 pmb:8 smb:8152 d:s ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:7.75 aq:0.00 tex:155 mv:51 misc:482 imb:0 pmb:9 smb:8151 d:s ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:7.74 aq:0.00 tex:157 mv:50 misc:481 imb:0 pmb:9 smb:8151 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:6.25 aq:0.08 tex:687 mv:127 misc:610 imb:6 pmb:19 smb:8135 d:s ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:6.25 aq:0.00 tex:211 mv:8 misc:493 imb:0 pmb:8 smb:8152 d:s ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:6.25 aq:0.01 tex:243 mv:50 misc:499 imb:0 pmb:11 smb:8149 d:s ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:6.25 aq:0.01 tex:244 mv:53 misc:495 imb:0 pmb:11 smb:8149 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:6.25 aq:0.03 tex:540 mv:118 misc:590 imb:6 pmb:14 smb:8140 d:s ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:6.25 aq:0.00 tex:211 mv:8 misc:493 imb:0 pmb:8 smb:8152 d:s ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:6.25 aq:0.01 tex:243 mv:50 misc:499 imb:0 pmb:11 smb:8149 d:s ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:6.25 aq:0.01 tex:244 mv:53 misc:495 imb:0 pmb:11 smb:8149 d:- ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:6.09 aq:0.10 tex:606 mv:117 misc:581 imb:6 pmb:15 smb:8139 d:s ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:6.25 aq:0.00 tex:211 mv:8 misc:493 imb:0 pmb:8 smb:8152 d:s ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:6.25 aq:0.01 tex:243 mv:50 misc:499 imb:0 pmb:11 smb:8149 d:s ref:0 ;
